"Logout","Wyloguj"
"Parent directory","Katalog nadrzędny"
"Remove account?","Usunąć konto?"
"Are you sure you want to remove your account?","Czy na pewno chcesz usunąć to konto?"
"Beware! This operation cannot be undone!","Uwaga, ta operacja nie może zostać cofnięta!"
"Name","Nazwa"
"Actions","Operacje"
"Nothing found.","Nic nie znaleziono."
"Download the file","Pobierz plik"
"Download","Pobierz"
"Open folder: %s","Otwórz katalog: %s"
"Open folder","Otwórz katalog"
"Manage Account","Zarządzaj kontem"
"Account info successfully updated.","Zaktualizowano ustawienia konta."
"Change your login password here.","Zmień hasło do konta."
"New Password","Nowe hasło"
"Confirm Password","Powtórz hasło"
"Delete Account","Usuń konto"
"Delete my account","Usuń moje konto"
"My Account","Moje konto"
"Connect with SXDrive","Połącz z SXDrive"
"Change preferences for your account","Zmień ustawienia konta"
"SXWeb Preferences","Ustawienia SXWeb"
"Change your password or delete your account","Zmień hasło lub usuń konto"
"Manage account","Zarządzaj kontem"
"SXWeb Preferences","Ustawienia SXWeb"
"File list size:","Rozmiar listy plików:"
"File list size","Rozmiar listy plików"
"Save!","Zapisz!"
"Clear cache","Wyczyść pamięć podręczną"
"Currently not implemented.","Obecnie nie zaimplementowane."
"Connect with SXDrive","Połącz z SXDrive"
"This is a demo: SXDrive cannot be used to access this cluster.","To jest wersja demonstracyjna: SXDrive nie może połączyć się z tym klastrem."
"QR Code for Android:","Kod QR dla Androida:"
"QR Code for iOS:","Kod QR dla iOS:"
"Secret Key:","Prywatny klucz:"
"Secret Key","Prywatny klucz"
"(You can download SXDrive for Desktop here:","(Możesz pobrać SXDrive dla Windows/Mac/Linux tutaj:"
"Size: %s of %s used","Rozmiar: %s z %s w użyciu"
"Usage: %s of %s","Użycie: %s z %s"
"Volumes (%d)","Woluminy (%d)"
"Invalid input.","Złe dane wejściowe"
"Copy failed.","Kopiowanie nie powiodło się."
"Files successfully copied.","Pliki zostały pomyślnie skopiowane."
"Internal error.","Błąd wewnętrzny."
"Move failed.","Przenoszenie nie powiodło się."
"File(s) successfully moved.","Plik(i) pomyślnie przeniesiono."
"Invalid destination name.","Niepoprawna nazwa docelowa."
"Invalid destination path.","Niepoprawna ścieżka docelowa."
"Rename failed.","Zmiana nazwy nie powiodła się."
"File not found or invalid.","Nieistniejący lub niepoprawny plik."
"Invalid expire time","Niepoprawny czas ważności"
"Failed to create the file share link.","Udostępnienie pliku nie powiodło się."
"Invalid shared file key","Niepoprawny klucz dla udostępnianego pliku"
"File not found or expired.","Plik nie istnieje lub ważność linku wygasła."
"Too many concurrent downloads!","Zbyt wiele jednoczesnych pobierań!"
"Please wait a minute and retry.","Poczekaj chwilę i spróbuj ponownie."
"File not found!","Nie znaleziono pliku!"
"The file &quot;%s&quot; was not found.","Plik &quot;%s&quot; nie został znaleziony."
"Invalid file type!","Niewłaściwy typ pliku!"
"The file &quot;%s&quot; can't be downloaded.","Plik &quot;%s&quot; nie może zostać pobrany."
"Internal error, please retry later.","Błąd wewnętrzny, spróbuj ponownie później."
"Invalid password! <a href=""%s"">Retry...</a>","Niepoprawne hasło! <a href=""%s"">Spróbuj ponownie...</a>"
"Invalid path.","Niewłaściwa ścieżka."
"Failed to create directory","Utworzenie katalogu nie powiodło się"
"Internal error: failed to create directory","Błąd wewnętrzny: utworzenie katalogu nie powiodło się"
"Invalid directory name","Niepoprawna nazwa katalogu"
"Failed to delete files.","Usunięcie plików nie powiodło się."
"Files successfully deleted.","Pliki zostały pomyślnie usunięte."
"Check your config, upload dir is empty.","Sprawdź konfigurację – katalog dla przesyłanych plików jest pusty."
"Internal error!","Wewnętrzny błąd!"
"Application encountered an internal error. Please retry in a few seconds.","Aplikacja napotkała wewnętrzny problem. Spróbuj ponownie za kilka sekund."
"Volume unlock failed. Wrong password!","Nie udało się uzyskać dostępu do woluminu. Niepoprawne hasło!"
"Volume unlock failed.","Nie udało się uzyskać dostępu do woluminu."
"Incorrect password.","Niepoprawne hasło."
"Index of %s","Lista plików woluminu %s"
"No write access to this volume.","Brak prawa zapisu do tego woluminu."
"No read access to this volume.","Brak prawa odczytu dla tego woluminu."
"Continue browsing files...","Kontynuuj przeglądanie plików..."
"Too many concurrent downloads!","Zbyt wiele jednoczesnych pobierań!"
"Please wait a minute and retry.","Poczekaj chwilę i spróbuj ponownie."
"File not found!","Nie znaleziono pliku!"
"The file &quot;%s&quot; was not found.","Plik &quot;%s&quot; nie został znaleziony."
"Invalid file type!","Niewłaściwy typ pliku!"
"The file &quot;%s&quot; can't be downloaded.","Plik &quot;%s&quot; nie może zostać pobrany."
"File not found!","Nie znaleziono pliku!"
"Internal error!","Wewnętrzny błąd!"
"Application encountered an internal error.","Wystąpił wewnętrzny błąd aplikacji."
"This is a demo!","To jest wersja demonstracyjna!"
"SXWeb is running in demo mode.","SXWeb działa w trybie demonstracyjnym."
"Some functionality are removed or not usable.","Część funkcji jest niedostępna w tym trybie."
"Please upgrade to a normal version.","Proszę zaktualizować do normalnej wersji."
"Go to the home page...","Idź do strony domowej..."
"Thank you!","Dziękujemy!"
"Login name or password are wrong, please retry.","Nazwa użytkownika lub hasło są niepoprawne, spróbuj ponownie."
"Upgrade to SX Enterprise Edition to enable full-text search in SXWeb: %s","Zaktualizuj do SX Enterprise Edition aby włączyć wyszukiwanie wewnątrz plików w SXWeb: %s"
"Search engine is unavailable. Contact your sysadmin.","Silnik wyszukujący jest niedostępny. Skontaktuj się z administratorem."
"Invalid search parameters, please retry.","Niewłaściwe parametry wyszukiwania, spróbuj ponownie."
"Invalid search parameters.","Niewłaściwe parametry wyszukiwania."
"Invalid input.","Niepoprawne dane wejściowe."
"Revisions","Rewizje"
"Path not found or revisions not supported.","Niepoprawna ścieżka lub brak wsparcia dla rewizji."
"Revision successfully copied.","Rewizja poprawnie skopiowana."
"Failed to copy the revision.","Nie udało się skopiować rewizji."
"Internal error.","Błąd wewnętrzny."
"Revision not found!","Nie odnaleziono rewizji!"
"The requested revisions was not found","Żądane rewizje nie zostały odnalezione"
"The file &quot;%s&quot; was not found.","Plik &quot;%s&quot; nie został odnaleziony."
"Invalid file type!","Niepoprawny typ pliku!"
"The file &quot;%s&quot; can't be downloaded.","Plik &quot;%s&quot; nie może zostać pobrany."
"Internal error!","Błąd wewnętrzny!"
"Application encountered an internal error.","Aplikacja napotkała wewnętrzny błąd."
"File Revisions","Rewizje pliku"
"File: <strong>%s</strong>","Plik: <strong>%s</strong>"
"No revisions found.","Nie odnaleziono żadnych rewizji."
"Available revisions (most recent first):","Dostępne rewizje (najnowsze na początku):"
"Download this revision","Pobierz tą rewizję"
"Rev. %d","Rew. %d"
"Restore","Przywróć"
"Cancel","Anuluj"
"Failed to create temporary directory","Nie udało się utworzyć katalogu tymczasowego"
"Update failed: the current password isn't valid.","Aktualizacja nie powiodła się: obecne hasło nie jest prawidłowe."
"Internal error: update failed.","Błąd wewnętrzny: aktualizacja nie powiodła się."
"Account preferences successfully updated.","Ustawienia konta zostały pomyślnie zaktualizowane."
"Language","Język"
"You can download SXDrive here:","Możesz pobrać SXDrive tutaj:"
"SXDrive downloads","Pobieranie SXDrive"
"Account management is currently disabled.","Zarządzanie kontem jest chwilowo zablokowane."
"Invalid credentials!","Niepoprawne dane logowania!"
"Your credentials are changed, please authenticate again.","Dane zdalnego konta zmieniły się, zaloguj się ponownie."
"Sign in again...","Zaloguj się ponownie..."
"Lets you sign in again","Pozwala zalogować się ponownie"
"Preview this revision","Podgląd tej rewizji"
"Rev.","Rew."
"Passwords mismatch","Hasła nie zgadzają się"
"The file is already shared: the password and the expire time will be updated.","Ten plik został już wcześniej udostępniony: hasło i czas ważności zostaną zaktualizowane."
"Passwords mismatch.","Hasła nie zgadzają się."
"Setting volume password failed.","Ustawienie hasła dla woluminu nie powiodło się."
"Setting volume password failed: wrong password!","Ustawienie hasła dla woluminu nie powiodło się: niepoprawne hasło!"
"Invalid volume password.","Niepoprawne hasło."
"Files to show:","Pliki do wyświetlenia:"
"All","Wszystkie"
"Failed to update file list page size.","Nie udało się zaktualizować rozmiaru strony z listą plików."
"Internal error. Failed to update file list page size.","Błąd wewnętrzny. Nie udało się zaktualizować rozmiaru strony z listą plików."
"Invalid value, failed to update file list page size.","Niepoprawna wartość, nie udało się zaktualizować rozmiaru strony z listą plików."
"The value must be an integer between 1 and 65535 or an empty string","Wartość pola musi być liczbą od 1 do 65535."
"Manage volumes","Zarządzaj woluminami"
"No volumes found!","Nie odnaleziono woluminów"
"Owner","Właściciel"
"Replica","Liczba replik"
"Filter","Filtr"
"Access","Dostęp"
"Used Space","Użyte miejsce"
"Read","Odczyt"
"Write","Zapis"
"Read, Write","Odczyt, zapis"
"Manage Volume","Zarządzaj woluminem"
"Manage the volume","Zarządzaj tym woluminem"
"Go to volume list...","Idź do listy woluminów..."
"Manage Volume: %s","Zarządzaj woluminem: %s"
"Volume Info","Informacja o woluminie"
"Change...","Zmień..."
"Manage another volume...","Zarządzaj innym woluminem..."
"Volume Access Control List","Dostęp do woluminu"
"Add user...","Dodaj użytkownika..."
"Fatal error: invalid volume.","Fatalny błąd: niepoprawny wolumin"
"Volume not found.","Nie odnaleziono woluminu."
"You don't have the rights to manage this volume.","Nie masz uprawnień do zarządzania tym woluminem."
"Fatal error: invalid operation.","Fatalny błąd: niepoprawna operacja."
"Fatal error: invalid request.","Fatalny błąd: niepoprawne żądanie."
"Invalid maximum revision limit.","Niepoprawny maksymalny limit rewizji."
"Successfully set maximum revision limit.","Pomyślnie ustawiono maksymalny limit rewizji."
"Maximum revisions limit unchanged.","Maksymalny limit rewizji nie został zmieniony."
"Failed to set maximum revision limit.","Nie udało się ustawić maksymalnego limitu rewizji."
"Fatal error: invalid user.","Fatalny błąd: niepoprawny użytkownik."
"Fatal error: invalid permissions.","Fatalny błąd: niepoprawne prawa dostępu."
"Successfully changed user privileges.","Pomyślnie zaktualizowano prawa dostępu użytkownika."
"Failed to change user privileges.","Nie udało się zaktualizować praw dostępu użytkownika."
"Failed to change user privileges: user not found.","Nie udało się zaktualizować praw dostępu użytkownika: nie odnaleziono użytkownika."
"User","Użytkownik"
"Privileges","Prawa dostępu"
"The SX Cluster is unreachable, please try again later or contact your sysadmin.","Klaster SX jest nieosiągalny, spróbuj ponownie późnilub skontaktuj się z administratorem systemu."
"Settings","Ustawienia"
"Allows you to change your password","Pozwala na zmianę hasła"
"Change your password","Zmień hasło"
"Go back to settings...","Wróć do ustawień..."
"Browse the volume...","Przeglądaj wolumin..."
"Download SXDrive config file","Pobierz plik konfiguracyjny SXDrive"
"owner","Właściciel"
"read","Odczyt"
"write","Zapis"
"manager","Menedżer"
"Powered by %s.","Powered by %s."
"The email is invalid, please check it and retry.","The email is invalid, please check it and retry."
"Failed to send the email, please try again later.","Failed to send the email, please try again later."
"SXWeb - Password Reset Request","SXWeb - Password Reset Request"
"You have requested too many password reset tickets, please wait 24 hours and retry.","You have requested too many password reset tickets, please wait 24 hours and retry."
"SXWeb - Change your password","SXWeb - Change your password"
"To change your password please follow this link: %s","To change your password please follow this link: %s"
"This link is valid for 24 hours.","This link is valid for 24 hours."
"This message was generated automatically.","This message was generated automatically."
"We have sent you an email with a link to follow to reset your password.","We have sent you an email with a link to follow to reset your password."
"Change password","Change password"   
"Change!","Change!"
"Invalid password: should be between %min% and %max% alphanumeric chars.","Invalid password: should be between %min% and %max% alphanumeric chars."
"Invalid password: is less than %min% characters long","Invalid password: is less than %min% characters long"
"Invalid password: is more than %max% characters long","Invalid password: is more than %max% characters long"
"Invalid passwords, please check and retry.","Invalid passwords, please check and retry."
"Failed to change the user password, please retry.","Failed to change the user password, please retry."
"Password successfully changed!","Password successfully changed!"
"Invalid or expired user token, please retry.","Invalid or expired user token, please retry."
"Invalid reset password hash, please retry.","Invalid reset password hash, please retry."
